Machine ID,Location,Polling center,Clustered precinct,Precincts in the cluster,Abstentions,Number of registered voters,No. of voters who actually voted,No. of valid ballots cast,Turnout (%),cluster_id,Clustered Precinct Extracted
HPM180PA01077004,"NCR, NATIONAL CAPITAL REGION - FOURTH DISTRICT, CITY OF LAS PIÑAS, B. F. INTERNATIONAL VILLAGE",CAA ELEMENTARY SCHOOL-MAIN,76010161,"0356K, 0356L, 0356M, 0356N, 0357A",0,955,606,606,63.45,76010161,76010161
HPM180PA01077092,"NCR, NATIONAL CAPITAL REGION - THIRD DISTRICT, MALABON CITY, MUZON",MUZON ELEMENTARY SCHOOL,75020057,"0187B,0188A,0188B,0189A,0189B",0,911,675,675,74.09,75020057,75020057
HPM180PA01077268,"NCR, NATIONAL CAPITAL REGION - SECOND DISTRICT, QUEZON CITY, HOLY SPIRIT",DOÑA JUANA ELEMENTARY SCHOOL,74040285,"1408B, 1409A, 1409B, 1410A, 1410B",1,968,675,675,69.73,74040285,74040285
HPM180PA01077280,"NCR, NATIONAL CAPITAL REGION - SECOND DISTRICT, QUEZON CITY, MANRESA",SAN JOSE HIGH SCHOOL,74040185,"0984A, 0985A, 0986A, 0987A, 0988A",1,998,752,752,75.35,74040185,74040185
HPM180PA01077375,"NCR, NATIONAL CAPITAL REGION - SECOND DISTRICT, QUEZON CITY, MATANDANG BALARA",OLD BALARA ELEMENTARY SCHOOL (FORMERLY ANNEX),74040749,"4374B, 4374C, 4374D, 4374E, 4374F",2,942,665,665,70.59,74040749,74040749
HPM180PA01077377,"NCR, NATIONAL CAPITAL REGION - THIRD DISTRICT, MALABON CITY, CATMON",CATMON INTERGRATED SCHOOL,75020123,"0335C,0335D,0336A,0336B",0,771,598,598,77.56,75020123,75020123
HPM180PA01077549,"NCR, NATIONAL CAPITAL REGION - FOURTH DISTRICT, PASAY CITY, BARANGAY 184",PRES. CORAZON C. AQUINO NATIONAL HIGH SCHOOL,76050379,"0735C, 0735D, 0735E, 0735F, 0735G",2,992,681,681,68.64,76050379,76050379
HPM180PA01077576,"NCR, NATIONAL CAPITAL REGION - SECOND DISTRICT, QUEZON CITY, HOLY SPIRIT",BARANGAY COVERED COURT,74040251,"1283A, 1283B, 1283C, 1284A, 1284B",0,902,642,642,71.17,74040251,74040251
HPM180PA01077609,"NCR, NATIONAL CAPITAL REGION - FOURTH DISTRICT, PASAY CITY, BARANGAY 185",PASAY CITY SOUTH HIGH SCHOOL,76050384,"0741A, 0741B, 0741C, 0741D, 0741E, 0741P1",0,627,428,428,68.26,76050384,76050384
HPM180PA01077687,"NCR, NATIONAL CAPITAL REGION - SECOND DISTRICT, QUEZON CITY, NOVALICHES PROPER",DOÑA ROSARIO ELEMENTARY SCHOOL,74041138,"2399D,2400A,2401A,2401B,2401C",1,818,548,548,66.99,74041138,74041138
HPM180PA01077825,"NCR, NATIONAL CAPITAL REGION - FOURTH DISTRICT, CITY OF MAKATI, RIZAL",RIZAL ELEMENTARY SCHOOL,76020473,"1181C, 1181D, 1181E, 1182A, 1182B",2,884,620,620,70.13,76020473,76020473
HPM180PA01077921,"NCR, NATIONAL CAPITAL REGION - SECOND DISTRICT, QUEZON CITY, BAESA",L.R. PASCUAL ELEMENTARY SCHOOL,74041326,"2971A, 2972A, 2973A, 2974A, 2975A",2,914,660,660,72.21,74041326,74041326
HPM180PA01078290,"NCR, NATIONAL CAPITAL REGION - FOURTH DISTRICT, PASAY CITY, BARANGAY 106",P. ZAMORA ELEMENTARY SCHOOL,76050258,"0400A, 0400B, 0400C, 0400D, 0400E, 0400P1",0,809,609,609,75.27,76050258,76050258
HPM180PA01078298,"NCR, NATIONAL CAPITAL REGION - SECOND DISTRICT, CITY OF PASIG, KALAWAAN",KALAWAAN ELEMENTARY SCHOOL,74030073,"0225A, 0226A, 0226B, 0227A, 0227B, 0227C",1,949,729,729,76.81,74030073,74030073
HPM180PA01078299,"NCR, NATIONAL CAPITAL REGION - FOURTH DISTRICT, CITY OF MAKATI, BANGKAL",BANGKAL ELEMENTARY SCHOOL (MAIN),76020025,"0082A, 0083A, 0083B, 0084A, 0084B, 0085A, 0085B, 0086A",0,893,678,678,75.92,76020025,76020025
HPM180PA01078340,"NCR, NATIONAL CAPITAL REGION - THIRD DISTRICT, CALOOCAN CITY, BARANGAY 9",A. BONIFACIO ELEM SCH.,75010560,"1751A, 1752A, 1752B, 1752C, 1752D, 1752P1",1,689,468,468,67.92,75010560,75010560
HPM180PA01078408,"NCR, NATIONAL CAPITAL REGION - THIRD DISTRICT, CALOOCAN CITY, BARANGAY 162",STA. QUITERIA ELEM. SCHOOL,75010110,"0449A, 0449B, 0450A, 0450B, 0451A, 0451B",1,697,471,471,67.57,75010110,75010110
HPM180PA01078423,"NCR, NATIONAL CAPITAL REGION - THIRD DISTRICT, CITY OF VALENZUELA, UGONG",SILVESTRE LAZARO ELEMENTARY SCHOOL,75040427,"1196B, 1197A, 1197B, 1198A",0,749,562,562,75.03,75040427,75040427
HPM180PA01078474,"NCR, NATIONAL CAPITAL REGION - THIRD DISTRICT, MALABON CITY, DAMPALIT",DAMPALIT ELEMENTARY SCHOOL (UNIT 1),75020075,"0240A,0240B,0241A,0242A,0243A",0,986,781,781,79.2,75020075,75020075
HPM180PA01078501,"NCR, NATIONAL CAPITAL REGION - FOURTH DISTRICT, PASAY CITY, BARANGAY 105",P. ZAMORA ELEMENTARY SCHOOL,76050257,"0399A, 0399B, 0399C",0,349,271,271,77.65,76050257,76050257
HPM180PA01078666,"NCR, NATIONAL CAPITAL REGION - SECOND DISTRICT, CITY OF PASIG, MANGGAHAN","NAPICO ELEMENTARY SCHOOL,",74030243,"0730B, 0731A, 0731B, 0732A, 0732B, 0733A, 0734A",1,942,708,708,75.15,74030243,74030243
HPM180PA01078708,"NCR, NATIONAL CAPITAL REGION - THIRD DISTRICT, CITY OF VALENZUELA, HEN. T. DE LEON",GEN. T. DE LEON ELEMENTARY SCHOOL,75040283,"0800B, 0801A, 0801B, 0802A, 0803A",0,925,711,711,76.86,75040283,75040283
HPM180PA01078803,"NCR, NATIONAL CAPITAL REGION - SECOND DISTRICT, CITY OF MARIKINA, MALANDAY",MALANDAY ELEMENTARY SCHOOL,74020047,"0207A, 0207B, 0208A, 0208B, 0209A",0,933,722,722,77.38,74020047,74020047
HPM180PA01078825,"NCR, NATIONAL CAPITAL REGION - THIRD DISTRICT, CITY OF VALENZUELA, KARUHATAN",TELECOMMUNICATIONS TRAINING INSTITUTE (T.T.I.),75040222,"0609B, 0610A, 0610B, 0611A, 0611B",2,957,672,672,70.21,75040222,75040222
HPM180PA01078854,"NCR, NATIONAL CAPITAL REGION - SECOND DISTRICT, CITY OF PASIG, SANTOLAN",SANTOLAN ELEMENTARY SCHOOL,74030449,"1364C, 1364D, 1364E, 1364F, 1364G",1,988,761,761,77.02,74030449,74030449
HPM180PA01079024,"NCR, NATIONAL CAPITAL REGION - FOURTH DISTRICT, CITY OF MUNTINLUPA, PUTATAN",F. DE MESA ELEMENTARY SCHOOL,76030053,"0103A, 0103B, 0103C, 0104A, 0104B",1,983,626,626,63.68,76030053,76030053
HPM180PA01079082,"NCR, NATIONAL CAPITAL REGION - FOURTH DISTRICT, CITY OF MUNTINLUPA, PUTATAN",SOLDIERS HILLS ELEMENTARY SCHOOL,76030072,"0143A, 0144A, 0145A, 0146A, 0147A",4,970,599,599,61.75,76030072,76030072
HPM180PA01079111,"NCR, NATIONAL CAPITAL REGION - SECOND DISTRICT, QUEZON CITY, PINAGKAISAHAN",RAMON MAGSAYSAY HIGH SCHOOL,74040921,"5321A,5322A,5322B,5323A,5323B,5324A,5325A,5326A",0,729,474,474,65.02,74040921,74040921
HPM180PA01079130,"NCR, NATIONAL CAPITAL REGION - SECOND DISTRICT, CITY OF PASIG, PINAGBUHATAN",PINAGBUHATAN ELEMENTARY SCHOOL,74030313,"0981A, 0982A, 0983A, 0984A, 0985A, 0986A, 0987A, 0987P1",1,829,627,627,75.63,74030313,74030313
HPM180PA01079148,"NCR, NATIONAL CAPITAL REGION - SECOND DISTRICT, QUEZON CITY, KRISTONG HARI",CHRIST THE KING SEMINARY,74040889,"5148A,5149A,5150A,5151A,5152A",0,827,570,570,68.92,74040889,74040889
HPM180PA01079194,"NCR, NATIONAL CAPITAL REGION - SECOND DISTRICT, QUEZON CITY, MAHARLIKA",E. RODRIGUEZ JR. HIGH SCHOOL,74040229,"1218A, 1219A, 1220A, 1221A, 1222A, 1224A, 1224P1",0,679,448,448,65.97,74040229,74040229
HPM180PA01079198,"NCR, NATIONAL CAPITAL REGION - SECOND DISTRICT, CITY OF PASIG, PINAGBUHATAN",PINAGBUHATAN HIGH SCHOOL,74030291,"0900B, 0900C, 0900D, 0900E, 0900F",5,992,802,802,80.84,74030291,74030291
HPM180PA01079221,"NCR, NATIONAL CAPITAL REGION - FOURTH DISTRICT, CITY OF MUNTINLUPA, PUTATAN",PUTATAN ELEMENTARY SCHOOL,76030013,"0021B, 0022A, 0022B, 0023A, 0023B",1,903,556,556,61.57,76030013,76030013
HPM180PA01079239,"NCR, TAGUIG - PATEROS, PATEROS, SANTA ANA",STA. ANA ELEMENTARY SCHOOL,76060022,"0078A, 0078B, 0079A, 0079B, 0080A, 0081A",1,917,701,701,76.44,76060022,76060022
HPM180PA01079251,"NCR, NATIONAL CAPITAL REGION - FOURTH DISTRICT, CITY OF MAKATI, PIO DEL PILAR",PIO DEL PILAR ELEMENTARY SCHOOL (MAIN),76020148,"0489A, 0489B, 0489C, 0489D, 0489E, 0490A",0,983,652,652,66.32,76020148,76020148
HPM180PA01079279,"NCR, NATIONAL CAPITAL REGION - FOURTH DISTRICT, CITY OF LAS PIÑAS, B. F. INTERNATIONAL VILLAGE",CAA ELEMENTARY SCHOOL-MAIN,76010183,"0385E, 0386A, 0386B, 0386C, 0386D",2,861,477,477,55.4,76010183,76010183
HPM180PA01079388,"NCR, NATIONAL CAPITAL REGION - THIRD DISTRICT, CALOOCAN CITY, BARANGAY 178",CAMARIN D ELEM. SCHOOL,75010435,"1414A, 1414B, 1415A, 1415B, 1416A",0,968,664,664,68.59,75010435,75010435
HPM180PA01079392,"NCR, NATIONAL CAPITAL REGION - THIRD DISTRICT, MALABON CITY, SAN AGUSTIN",DELA PAZ ELEMENTARY SCHOOL,75020002,"0003B,0004A,0004B,0005A,0005B",2,920,600,600,65.21,75020002,75020002
HPM180PA01079479,"NCR, NATIONAL CAPITAL REGION - THIRD DISTRICT, CALOOCAN CITY, BARANGAY 2",BUENA PARK UNIVERSITY HILLS,75010003,"0011A, 0012A, 0013A, 0013B, 0014A, 0015A",1,987,608,608,61.6,75010003,75010003
HPM180PA01079493,"NCR, NATIONAL CAPITAL REGION - THIRD DISTRICT, CALOOCAN CITY, BARANGAY 14",MACARIO ASISTIO HIGH SCHOOL,75010591,"1797C, 1798A, 1798B, 1798C, 1798D",0,934,637,637,68.2,75010591,75010591
HPM180PA01079537,"NCR, NATIONAL CAPITAL REGION - THIRD DISTRICT, CALOOCAN CITY, BARANGAY 59",GRACE PARK ELEM. SCHOOL (MAIN),75010723,"2130A, 2130B, 2130C, 2131A, 2132A",0,960,471,471,49.06,75010723,75010723
HPM180PA01079561,"NCR, NATIONAL CAPITAL REGION - FOURTH DISTRICT, CITY OF LAS PIÑAS, PULANG LUPA UNO",PULANLUPA ELEMENTARY SCHOOL,76010066,"0177A, 0178A, 0179A, 0180A, 0180B",0,918,617,617,67.21,76010066,76010066
HPM180PA01079577,"NCR, NATIONAL CAPITAL REGION - SECOND DISTRICT, QUEZON CITY, KALUSUGAN",BARANGAY HALL,74040894,"5167A,5168A,5169A,5170A",0,708,354,354,50.0,74040894,74040894
HPM180PA01079618,"NCR, NATIONAL CAPITAL REGION - FOURTH DISTRICT, CITY OF MUNTINLUPA, PUTATAN",F. DE MESA ELEMENTARY SCHOOL,76030046,"0088A, 0088B, 0088C, 0089A, 0089B",2,815,562,562,68.95,76030046,76030046
HPM180PA01079648,"NCR, NATIONAL CAPITAL REGION - SECOND DISTRICT, QUEZON CITY, SACRED HEART",QUEZON CITY HIGH SCHOOL,74040795,"4602A,4603A,4603B,4604A,4605A,4606A,4607A",0,898,591,591,65.81,74040795,74040795
HPM180PA01079708,"NCR, NATIONAL CAPITAL REGION - THIRD DISTRICT, CALOOCAN CITY, BARANGAY 167",LLANO ELEM. SCHOOL,75010152,"0603A, 0603B, 0603C, 0603D, 0603E",0,989,663,663,67.03,75010152,75010152
HPM180PA01079722,"NCR, NATIONAL CAPITAL REGION - SECOND DISTRICT, QUEZON CITY, SAN BARTOLOME",SAN BARTOLOME ELEMENTARY SCHOOL,74041206,"2635A,2635B,2636A,2636B,2637A",1,998,608,608,60.92,74041206,74041206
HPM180PA01079755,"NCR, NATIONAL CAPITAL REGION - SECOND DISTRICT, CITY OF MANDALUYONG, HULO",HULO INTEGRATED SCHOOL,74010156,"0509B, 0510A, 0510B, 0511A, 0512A",0,865,581,581,67.16,74010156,74010156
HPM180PA01079840,"NCR, NATIONAL CAPITAL REGION - FOURTH DISTRICT, CITY OF MUNTINLUPA, CUPANG","SAN BEDA COLLEGE,",76030331,"0656A, 0656B, 0656C, 0656D, 0656P1",0,744,487,487,65.45,76030331,76030331
HPM180PA01079919,"NCR, NATIONAL CAPITAL REGION - THIRD DISTRICT, CALOOCAN CITY, BARANGAY 167",LLANO ELEM. SCHOOL,75010151,"0600A, 0601A, 0601B, 0602A, 0602B",0,996,680,680,68.27,75010151,75010151
HPM180PA01080074,"NCR, NATIONAL CAPITAL REGION - THIRD DISTRICT, NAVOTAS CITY, NBBS PROPER",NORTH BAY BOULEVARD SOUTH ELEMENTARY SCHOOL,75030122,"0545A, 0545B, 0546A, 0549A, 0550A, 0550B, 0551A, 0557A",2,929,718,718,77.28,75030122,75030122
HPM180PA01080083,"NCR, NATIONAL CAPITAL REGION - SECOND DISTRICT, QUEZON CITY, SAN AGUSTIN",SAN AGUSTIN ELEMENTARY SCHOOL,74041105,"2277B,2278A,2279A,2280A,2281A,2282A",1,960,648,648,67.5,74041105,74041105
HPM180PA01080092,"NCR, NATIONAL CAPITAL REGION - FOURTH DISTRICT, CITY OF MUNTINLUPA, POBLACION",MUNTINLUPA ELEMENTARY SCHOOL,76030111,"0248A, 0248B, 0248C, 0249A, 0249B",4,990,758,758,76.56,76030111,76030111
HPM180PA01080259,"NCR, NATIONAL CAPITAL REGION - SECOND DISTRICT, QUEZON CITY, SANTA MONICA",PALMERA HOMES MULTIPURPOSE HALL,74041132,"2378A,2379A,2380A,2381A",2,709,526,526,74.18,74041132,74041132
HPM180PA01080332,"NCR, NATIONAL CAPITAL REGION - SECOND DISTRICT, QUEZON CITY, NORTH FAIRVIEW",NORTH FAIRVIEW ELEMENTARY SCHOOL,74041056,"2130I,2130J,2130K,2130P1",0,709,457,457,64.45,74041056,74041056
HPM180PA01080333,"NCR, NATIONAL CAPITAL REGION - SECOND DISTRICT, CITY OF MANDALUYONG, BARANGKA ITAAS",RIZAL TECHNOLOGICAL UNIVERSITY,74010099,"0270A, 0271A, 0272A, 0273A, 0274A, 0275A, 0276A, 0277A, 0278A, 0279A",0,822,502,502,61.07,74010099,74010099
HPM180PA01080482,"NCR, NATIONAL CAPITAL REGION - FOURTH DISTRICT, CITY OF MAKATI, PEMBO",PEMBO ELEMENTARY SCHOL,76020344,"0977A, 0977B, 0977C, 0978A, 0978B",0,757,551,551,72.78,76020344,76020344
HPM180PA01080492,"NCR, NATIONAL CAPITAL REGION - SECOND DISTRICT, CITY OF MANDALUYONG, POBLACION",MANDALUYONG HIGH SCHOOL,74010001,"0001A, 0002A, 0003A, 0004A, 0005A",0,876,548,548,62.55,74010001,74010001
HPM180PA01080521,"NCR, TAGUIG - PATEROS, TAGUIG, CENTRAL BICUTAN",UPPER BICUTAN ELEMENTARY SCHOOL,76070318,"0823A, 0824A, 0825A, 0825B, 0826A",4,980,718,718,73.26,76070318,76070318
HPM180PA01080656,"NCR, NATIONAL CAPITAL REGION - MANILA, TONDO, BARANGAY 265",GENERAL MAXIMINO HIZON ELEMENTARY SCHOOL,39010499,"1076A, 1076B, 1076C, 1077A, 1077B",1,740,505,505,68.24,39010499,39010499
HPM180PA01080665,"NCR, NATIONAL CAPITAL REGION - THIRD DISTRICT, CITY OF VALENZUELA, KARUHATAN",KARUHATAN EAST ELEMENTARY SCHOOL,75040232,"0643A, 0643B, 0643C, 0643D, 0644A",1,955,674,674,70.57,75040232,75040232
HPM180PA01080720,"NCR, TAGUIG - PATEROS, PATEROS, SANTA ANA",CAPT. H. FRANCISCO ELEMENTARY SCHOOL - ANNEX,76060029,"0098A, 0098B, 0099A, 0099B, 0099C, 0100A, 0100B",2,863,662,662,76.7,76060029,76060029
HPM180PA01080764,"NCR, NATIONAL CAPITAL REGION - THIRD DISTRICT, CALOOCAN CITY, BARANGAY 166",CAYBIGA ELEM. SCHOOL,75010145,"0580A, 0581A, 0582A, 0583A, 0584A",0,951,626,626,65.82,75010145,75010145
HPM180PA01080789,"NCR, NATIONAL CAPITAL REGION - FOURTH DISTRICT, PASAY CITY, BARANGAY 155",APELO ELEM. SCHOOL,76050116,"0532A,0533A,0534A,0534B,0534C,0534P1",0,769,515,515,66.97,76050116,76050116
HPM180PA01080791,"NCR, NATIONAL CAPITAL REGION - THIRD DISTRICT, CALOOCAN CITY, BARANGAY 28",KASARINLAN ELEM. SCHOOL,75010644,"1929A, 1930A, 1930B, 1931A, 1931B",0,989,662,662,66.93,75010644,75010644
HPM180PA01080817,"NCR, NATIONAL CAPITAL REGION - FOURTH DISTRICT, CITY OF PARAÑAQUE, SAN ISIDRO",SAV 15 MULTI PURPOSE HALL,76040117,"0367A, 0367B, 0368A, 0368B, 0369A",0,888,624,624,70.27,76040117,76040117
HPM180PA01080830,"NCR, NATIONAL CAPITAL REGION - MANILA, TONDO, BARANGAY 47",ISABELO DELOS REYES ELEM. SCHOOL,39010093,"0154A, 0154B, 0155A",1,583,419,419,71.86,39010093,39010093
HPM180PA01080835,"NCR, NATIONAL CAPITAL REGION - FOURTH DISTRICT, PASAY CITY, BARANGAY 148",APELO ELEM. SCHOOL,76050106,"0506A,0506B,0506C,0507A",0,785,522,522,66.49,76050106,76050106
HPM180PA01080847,"NCR, NATIONAL CAPITAL REGION - THIRD DISTRICT, CITY OF VALENZUELA, KARUHATAN",KARUHATAN EAST ELEMENTARY SCHOOL,75040239,"0660A, 0660B, 0661A, 0662A",4,727,517,517,71.11,75040239,75040239
HPM180PA01080914,"NCR, NATIONAL CAPITAL REGION - SECOND DISTRICT, CITY OF MARIKINA, CALUMPANG",KALUMPANG ELEMENTARY SCHOOL,74020024,"0131A, 0132A, 0133A, 0134A, 0135A, 0136A, 0136P1, 0136P2",0,806,593,593,73.57,74020024,74020024
HPM180PA01080960,"NCR, NATIONAL CAPITAL REGION - MANILA, TONDO, BARANGAY 128",TIMOTEO PAEZ INTEGRATED SCHOOL,39010274,"3668A, 3668B, 3668C, 3668D, 3668E",4,997,737,737,73.92,39010274,39010274
HPM180PA01080992,"NCR, NATIONAL CAPITAL REGION - FOURTH DISTRICT, CITY OF MUNTINLUPA, ALABANG",ALABANG ELEMENTARY SCHOOL,76030265,"0453G, 0453H, 0453I, 0453J, 0453K, 0453L, 0453M",1,926,608,608,65.65,76030265,76030265
HPM180PA01081114,"NCR, NATIONAL CAPITAL REGION - THIRD DISTRICT, CITY OF VALENZUELA, MAPULANG LUPA",APOLONIA F. RAFAEL ELEMENTARY SCHOOL,75040306,"0855A, 0855B, 0856A, 0856B, 0857A",1,935,697,697,74.54,75040306,75040306
HPM180PA01081122,"NCR, NATIONAL CAPITAL REGION - SECOND DISTRICT, QUEZON CITY, TATALON",DIOSDADO MACAPAGAL ELEMENTARY SCHOOL,74040843,"4893A,4894A,4895A,4896A,4897A,4897P1",0,871,608,608,69.8,74040843,74040843
HPM180PA01081133,"NCR, NATIONAL CAPITAL REGION - SECOND DISTRICT, QUEZON CITY, WHITE PLAINS",COMMUNITY CENTER,74040634,"3819A, 3820A, 3821A, 3822A, 3823A, 3824A, 3825A, 3826A",1,762,548,548,71.91,74040634,74040634
HPM180PA01081144,"NCR, NATIONAL CAPITAL REGION - SECOND DISTRICT, CITY OF PASIG, SANTA LUCIA",DE CASTRO ELEMENTARY SCHOOL,74030459,"1409A, 1409B, 1410A, 1411A, 1412A, 1413A",0,976,719,719,73.66,74030459,74030459
HPM180PA01081233,"NCR, NATIONAL CAPITAL REGION - FOURTH DISTRICT, CITY OF MUNTINLUPA, TUNASAN",STO. NIÑO VILLAGE COVERED COURT,76030182,"0334C, 0334D, 0367A, 0367B, 0368A",0,919,678,678,73.77,76030182,76030182
HPM180PA01081251,"NCR, NATIONAL CAPITAL REGION - SECOND DISTRICT, CITY OF MANDALUYONG, BARANGKA IBABA",CITY OF MANDALUYONG SCIENCE HIGH SCHOOL,74010090,"0232A, 0233A, 0234A, 0234B, 0235A, 0236A",0,826,529,529,64.04,74010090,74010090
HPM180PA01081456,"NCR, NATIONAL CAPITAL REGION - SECOND DISTRICT, CITY OF MANDALUYONG, HULO",HULO INTEGRATED SCHOOL,74010153,"0498A, 0499A, 0499B, 0500A, 0501A",3,876,597,597,68.15,74010153,74010153
HPM180PA01081504,"NCR, NATIONAL CAPITAL REGION - THIRD DISTRICT, CALOOCAN CITY, BARANGAY 178",CAMARIN D ELEM. SCHOOL,75010424,"1391B, 1392A, 1392B, 1393A, 1393B",6,993,706,706,71.09,75010424,75010424
HPM180PA01081535,"NCR, NATIONAL CAPITAL REGION - MANILA, TONDO, BARANGAY 58",TONDO SPORTS COMPLEX,39010120,"0206A, 0206B, 0206C, 0206D, 0206P1",0,804,618,618,76.86,39010120,39010120
HPM180PA01081567,"NCR, NATIONAL CAPITAL REGION - FOURTH DISTRICT, PASAY CITY, BARANGAY 71",PASAY WEST HIGH SCHOOL,76050058,"0285A,0286A,0286B,0287A,0287B,0287P1",1,675,460,460,68.14,76050058,76050058
HPM180PA01081584,"NCR, NATIONAL CAPITAL REGION - SECOND DISTRICT, QUEZON CITY, VALENCIA",BARANGAY HALL,74040914,"5286A,5287A,5288A,5289A,5290A",0,962,578,578,60.08,74040914,74040914
HPM180PA01081781,"NCR, NATIONAL CAPITAL REGION - SECOND DISTRICT, QUEZON CITY, GULOD",ROSA SUSANO ELEMENTARY SCHOOL (NOVALICHES ELEMENTARY SCHOOL),74041192,"2587A,2588A,2589A,2590A,2591A",1,992,664,664,66.93,74041192,74041192
HPM180PA01081818,"NCR, NATIONAL CAPITAL REGION - SECOND DISTRICT, SAN JUAN CITY, SALAPAN",SALAPAN ELEMENTARY SCHOOL,74050040,"0165A, 0166A, 0167A, 0168A, 0169A",0,987,718,718,72.74,74050040,74050040
HPM180PA01081832,"NCR, NATIONAL CAPITAL REGION - SECOND DISTRICT, QUEZON CITY, NEW ERA (CONSTITUTION HILLS)",NEW ERA ELEMENTARY SCHOOL,74041487,"3504A, 3504B, 3504P1",0,401,262,262,65.33,74041487,74041487
HPM180PA01081910,"NCR, NATIONAL CAPITAL REGION - FOURTH DISTRICT, CITY OF LAS PIÑAS, B. F. INTERNATIONAL VILLAGE",CAPTAIN ALBERT AGUILAR NATIONAL HIGH SCHOOL,76010140,"0336B, 0336C, 0336D, 0336E, 0336F",1,941,501,501,53.24,76010140,76010140
HPM180PA01081959,"NCR, NATIONAL CAPITAL REGION - THIRD DISTRICT, CITY OF VALENZUELA, ISLA",ISLA ELEMENTARY SCHOOL,75040075,"0200A, 0201A, 0201B, 0202A, 0203A",2,928,747,747,80.49,75040075,75040075
HPM180PA01082116,"NCR, NATIONAL CAPITAL REGION - FOURTH DISTRICT, PASAY CITY, BARANGAY 111",P. ZAMORA ELEMENTARY SCHOOL,76050266,"0410A, 0410B, 0410C, 0410D, 0410E, 0410P1",1,883,602,602,68.17,76050266,76050266
HPM180PA01082131,"NCR, NATIONAL CAPITAL REGION - FOURTH DISTRICT, CITY OF MUNTINLUPA, CUPANG","CUPANG ELEMENTARY SCHOOL,",76030295,"0520A, 0520B, 0520C, 0521A, 0522A",0,969,670,670,69.14,76030295,76030295
HPM180PA01082222,"NCR, NATIONAL CAPITAL REGION - THIRD DISTRICT, NAVOTAS CITY, NBBS DAGAT-DAGATAN",DAGAT DAGATAN ELEMENTARY SCHOOL,75030150,"0678A, 0679A, 0680A, 0680B, 0681A, 0682A",0,960,744,744,77.5,75030150,75030150
HPM180PA01082232,"NCR, NATIONAL CAPITAL REGION - SECOND DISTRICT, QUEZON CITY, BAGUMBUHAY",KALANTIAW ELEMENTARY SCHOOL,74040701,"4149A, 4150A, 4151A, 4152A, 4153A, 4154A, 4155A",1,803,596,596,74.22,74040701,74040701
HPM180PA01082290,"NCR, NATIONAL CAPITAL REGION - SECOND DISTRICT, QUEZON CITY, U.P. CAMPUS","U. P. INTEGRATED SCHOOL , U. P. CAMPUS (GRADE 3 - 6 BLDG.)",74040929,"5362A,5363A,5364A,5365A,5366A",1,870,649,649,74.59,74040929,74040929
HPM180PA01082338,"NCR, TAGUIG - PATEROS, TAGUIG, IBAYO-TIPAS",TIPAS ELEMENTARY SCHOOL- MAIN,76070115,"0272A, 0272B, 0273A, 0273B, 0274A",3,913,655,655,71.74,76070115,76070115
HPM180PA01082345,"NCR, NATIONAL CAPITAL REGION - FOURTH DISTRICT, PASAY CITY, BARANGAY 30",BONIFACIO ELEM. SCHOOL,76050038,"0135A,0135B,0136A,0137A,0137B,0138A,0138P1",0,824,584,584,70.87,76050038,76050038
HPM180PA01082381,"NCR, NATIONAL CAPITAL REGION - SECOND DISTRICT, CITY OF PASIG, CANIOGAN",RIZAL HIGH SCHOOL (MAIN),74030056,"0183B, 0184A, 0184B, 0184C, 0184D, 0185A, 0185B, 0185C",1,968,737,737,76.13,74030056,74030056
HPM180PA01082425,"NCR, NATIONAL CAPITAL REGION - THIRD DISTRICT, CALOOCAN CITY, BARANGAY 176",BAGONG SILANG HIGH SCHOOL (KALAYAAN ANNEX),75010336,"1119A, 1119B, 1120A, 1121A, 1121B",2,739,540,540,73.07,75010336,75010336
HPM180PA01082491,"NCR, NATIONAL CAPITAL REGION - FOURTH DISTRICT, CITY OF PARAÑAQUE, SUN VALLEY",SUN VALLEY ELEMENTARY SCHOOL,76040294,"0976A, 0977A, 0978A, 0979A",1,789,603,603,76.42,76040294,76040294
HPM180PA01082598,"NCR, NATIONAL CAPITAL REGION - MANILA, TONDO, BARANGAY 61",JOSE CORAZON DE JESUS ELEM. SCHOOL,39010124,"0214A, 0215A, 0216A, 0216B, 0216C, 0219P1",3,867,619,619,71.39,39010124,39010124
HPM180PA01082695,"NCR, NATIONAL CAPITAL REGION - SECOND DISTRICT, QUEZON CITY, BAGBAG",REMARVILLE COVERED COURT,74041264,"2767A,2767B,2767C,2768A,2769A",0,975,662,662,67.89,74041264,74041264
HPM180PA01082775,"NCR, NATIONAL CAPITAL REGION - SECOND DISTRICT, QUEZON CITY, ESCOPA III",J. P. LAUREL SR. HIGH SCHOOL,74040646,"3876A, 3877A, 3878A, 3879A, 3879B",1,919,671,671,73.01,74040646,74040646
HPM180PA01082837,"NCR, NATIONAL CAPITAL REGION - FOURTH DISTRICT, CITY OF PARAÑAQUE, SAN DIONISIO",PARAÑAQUE NATIONAL HIGH SCHOOL - MAIN,76040099,"0310B, 0310C, 0311A, 0311B, 0311C, 0312A",0,874,615,615,70.36,76040099,76040099
HPM180PA01082890,"NCR, NATIONAL CAPITAL REGION - THIRD DISTRICT, CALOOCAN CITY, BARANGAY 13",CALOOCAN ELEM. SCH.,75010582,"1787C, 1788A, 1788B, 1788P1",0,476,299,299,62.81,75010582,75010582
